concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path,amount,unit,is_main,description,step_number,methods,tools,time_estimate
201000288,Recipe,桂圆红枣粥,桂圆红枣粥 (Recipe),桂圆红枣粥,[],"早餐,主食",2.0,,20分钟,60分钟,1份,"可调整水量控制粥的稀稠程度,可通过控制桂圆数量调整甜度",dishes\breakfast\桂圆红枣粥.md,,,,,,,,
201000289,Ingredient,糯米,糯米 (Ingredient),糯米,[],淀粉类,,,,,,,,100,g,True,,,,,
201000290,Ingredient,红枣,红枣 (Ingredient),红枣,[],其他,,,,,,,,15,颗,False,,,,,
201000291,Ingredient,桂圆,桂圆 (Ingredient),桂圆,[],其他,,,,,,,,15,颗,False,,,,,
201000292,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,将桂圆肉扒出，用清水洗两次，放入碗中浸泡 10 分钟,1.0,"洗,浸泡",碗,10分钟
201000293,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,红枣用清水洗两次，放入碗中浸泡 10 分钟,2.0,"洗,浸泡",碗,10分钟
201000294,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,糯米放入电饭锅中，清水淘米两次后，加入 2000ml 水,3.0,淘,电饭锅,
201000295,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,将桂圆和红枣加入电饭锅,4.0,加,电饭锅,
201000296,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,打开电饭锅煮饭模式，1 小时后粥成,5.0,煮,电饭锅,1小时
201000297,Recipe,水煮玉米,水煮玉米 (Recipe),水煮玉米,[],早餐,2.0,,5分钟,15-20分钟,1人份,,dishes\breakfast\水煮玉米.md,,,,,,,,
201000298,Ingredient,新鲜玉米,新鲜玉米 (Ingredient),新鲜玉米,[],蔬菜,,,,,,,,1,个,True,,,,,
201000299,Ingredient,水,水 (Ingredient),水,[],其他,,,,,,,,适量,,False,,,,,
201000300,Ingredient,盐,盐 (Ingredient),盐,[],调料,,,,,,,,2,克,False,,,,,
201000301,Ingredient,糖,糖 (Ingredient),糖,[],调料,,,,,,,,适量,,False,,,,,
201000302,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,将新鲜玉米剥去外皮，剩部分玉米皮入锅,1.0,剥,锅,
201000303,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,加入淹过玉米约半节指头的水，加盐和糖,2.0,加,锅,
201000304,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,水煮开之后转至小火，加盖继续煮 15-20 分钟，玉米煮久点没事。,3.0,煮,锅,15-20分钟
201000305,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,煮熟后沥干水分，冷却后食用。,4.0,沥干,,
201000306,Recipe,溏心蛋,溏心蛋 (Recipe),溏心蛋,[],早餐,3.0,,0分钟,15分钟,1份,"溏心蛋有沙门氏菌感染风险，不建议静置5分钟以内,可根据个人喜好添加更多的水来调整熟度",dishes\breakfast\溏心蛋.md,,,,,,,,
